"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Antony_JC","#Portia_JC",0.408962474457713,11,"No, my Brutus, You have some sick offense within your mind, Which by the right and virtue of my place I ought to know of.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Portia_JC",0.412607399593511,1,"You’ve ungently, Brutus, Stole from my bed.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Portia_JC",0.42446207015223,10,"What, is Brutus sick, And will he steal out of his wholesome bed To dare the vile contagion of the night And tempt the rheumy and unpurgèd air To add unto his sickness?","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Portia_JC",0.428702786890928,40,"O Brutus, The heavens speed thee in thine enterprise!","So to most noble Caesar."
"#Antony_JC","#Portia_JC",0.443887658424385,13,"I should not need, if you were gentle Brutus.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Portia_JC",0.483114047642422,8,"Brutus is wise and, were he not in health, He would embrace the means to come by it.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Portia_JC",0.596797734851536,32,"And take good note What Caesar doth, what suitors press to him.","So to most noble Caesar."
"#Antony_JC","#Portia_JC",0.611057598446655,42,"Brutus hath a suit That Caesar will not grant.","So to most noble Caesar."
"#Antony_JC","#Portia_JC",0.619006575236487,37,"Thou hast some suit to Caesar, hast thou not?","So to most noble Caesar."
"#Antony_JC","#Portia_JC",0.648912278882446,36,"Is Caesar yet gone to the Capitol?","So to most noble Caesar."
"#Antony_JC","#Brutus_JC",0.648292931936913,344,"So fare you well at once, for Brutus’ tongue Hath almost ended his life’s history.","Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."
"#Antony_JC","#Brutus_JC",0.648292931936913,345,"Night hangs upon mine eyes; my bones would rest, That have but labored to attain this hour.","Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."
"#Antony_JC","#Brutus_JC",0.648292931936913,346,"I prithee, Strato, stay thou by thy lord.","Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."
"#Antony_JC","#Brutus_JC",0.648292931936913,347,"Thou art a fellow of a good respect; Thy life hath had some smatch of honor in it.","Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."
"#Antony_JC","#Brutus_JC",0.648292931936913,348,"Hold, then, my sword, and turn away thy face While I do run upon it.","Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."
"#Antony_JC","#Brutus_JC",0.648292931936913,349,"I killed not thee with half so good a will.","Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."
"#Antony_JC","#Brutus_JC",0.652357913971856,130,"Thy master is a wise and valiant Roman.","He is a noble Roman, and well given."
"#Antony_JC","#Brutus_JC",0.66860166411439,115,"That every like is not the same, O Caesar, The heart of Brutus earns to think upon.","So to most noble Caesar."
"#Antony_JC","#Brutus_JC",0.700655840472729,141,"Our reasons are so full of good regard That were you, Antony, the son of Caesar, You should be satisfied.","Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."
"#Antony_JC","#Brutus_JC",0.716120819283372,116,"Look how he makes to Caesar.","So to most noble Caesar."
"#Antony_JC","#Cassius_JC",0.583693987523308,104,"We shall find of him A shrewd contriver; and, you know, his means, If he improve them, may well stretch so far As to annoy us all; which to prevent, Let Antony and Caesar fall together.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Cassius_JC",0.594411761968335,58,"I will this night In several hands in at his windows throw, As if they came from several citizens, Writings, all tending to the great opinion That Rome holds of his name, wherein obscurely Caesar’s ambition shall be glancèd at And after this, let Caesar seat him sure, For we will shake him, or worse days endure.","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Cassius_JC",0.61113131115425,33,"“Brutus” and “Caesar” — what should be in that “Caesar”?","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Cassius_JC",0.617113503244943,127,"I blame you not for praising Caesar so.","So to most noble Caesar."
"#Antony_JC","#Cassius_JC",0.620408596781151,53,"Well, Brutus, thou art noble.","He is a noble Roman, and well given."
"#Antony_JC","#Cassius_JC",0.64010104221926,56,"Caesar doth bear me hard, but he loves Brutus.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Cassius_JC",0.641644456881172,74,"And why should Caesar be a tyrant, then?","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Cassius_JC",0.642510746910254,117,"If this be known, Cassius or Caesar never shall turn back, For I will slay myself.","So to most noble Caesar."
"#Antony_JC","#Cassius_JC",0.650867376556704,130,"Brutus, a word with you.","First, Marcus Brutus, will I shake with you."
"#Antony_JC","#Cassius_JC",0.716190159702418,105,"Yet I fear him, For in the engrafted love he bears to Caesar —","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Caesar_JC",0.597572726393443,5,"I hear a tongue shriller than all the music Cry “Caesar.” Speak.","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Caesar_JC",0.612224878876643,62,"What is now amiss That Caesar and his Senate must redress?","So to most noble Caesar."
"#Antony_JC","#Caesar_JC",0.61641714363638,37,"Shall Caesar send a lie?","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Caesar_JC",0.618201916290029,65,"Be not fond To think that Caesar bears such rebel blood That will be thawed from the true quality With that which melteth fools — I mean sweet words, Low-crookèd curtsies, and base spaniel fawning.","So to most noble Caesar."
"#Antony_JC","#Caesar_JC",0.646699220641582,12,"Yet if my name were liable to fear, I do not know the man I should avoid So soon as that spare Cassius.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Caesar_JC",0.655355997529442,28,"Caesar should be a beast without a heart If he should stay at home today for fear.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Caesar_JC",0.673256132205727,68,"Know: Caesar doth not wrong, nor without cause Will he be satisfied.","So to most noble Caesar."
"#Antony_JC","#Caesar_JC",0.699062784648134,6,"Caesar is turned to hear.","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Caesar_JC",0.743475702036867,16,"I rather tell thee what is to be feared Than what I fear; for always I am Caesar.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Caesar_JC",0.78766895092484,29,"Danger knows full well That Caesar is more dangerous than he.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Casca_JC",0.422970625891444,5,"Why, there was a crown offered him; and, being offered him, he put it by with the back of his hand, thus, and then the people fell a-shouting.","He is a noble Roman, and well given."
"#Antony_JC","#Casca_JC",0.432719564600457,45,"You speak to Casca, and to such a man That is no fleering telltale.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Casca_JC",0.434996815890351,9,"I saw Mark Antony offer him a crown (yet ’twas not a crown neither; ’twas one of these coronets), and, as I told you, he put it by once; but for all that, to my thinking, he would fain have had it.","He is a noble Roman, and well given."
"#Antony_JC","#Casca_JC",0.443506367935896,54,"Go to the pulpit, Brutus.","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Casca_JC",0.481567709236788,25,"I could tell you more news too: Marullus and Flavius, for pulling scarves off Caesar’s images, are put to silence.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Casca_JC",0.514127289971948,21,"But there’s no heed to be taken of them; if Caesar had stabbed their mothers, they would have done no less.","Fear him not, Caesar; he’s not dangerous."
"#Antony_JC","#Casca_JC",0.542671103249437,43,"Indeed, they say the Senators tomorrow Mean to establish Caesar as a king, And he shall wear his crown by sea and land In every place save here in Italy.","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Casca_JC",0.590551612763922,15,"I know not what you mean by that, but I am sure Caesar fell down.","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Casca_JC",0.608382755295416,42,"’Tis Caesar that you mean, is it not, Cassius?","When Caesar says “Do this,” it is performed."
"#Antony_JC","#Casca_JC",0.611185773727948,12,"He put it the third time by, and still as he refused it the rabblement hooted and clapped their chopped hands and threw up their sweaty nightcaps and uttered such a deal of stinking breath because Caesar refused the crown that it had almost choked Caesar, for he swooned and fell down at it.","When Caesar says “Do this,” it is performed."
