;1;2;3;4;5;6;7;8;9;10;11;12;
1;1;0,88386463;0,06811505;0,1411005;0,1188269;0,1592562;0,06971297;0,07035597;-0,06949196;-0,01538666;0,17948209;-0,03603418;
2;0,88386463;1;0,07278575;0,1680503;0,1528217;0,1900565;0,099263;0,06733306;-0,08531538;-0,00111957;0,21843858;-0,07460811;
3;0,06811505;0,07278575;1;0,6281205;0,2876875;0,4200567;0,3044118;0,48433754;0,25108205;0,34426983;0,22634783;0,06815379;
4;0,14110049;0,16805033;0,62812051;1;0,3985812;0,539693;0,35910406;0,60596518;0,24221753;0,34989116;0,22365419;0,12442575;
5;0,11882692;0,15282171;0,28768752;0,3985812;1;0,5441293;0,44497349;0,54458006;0,19359366;0,2406508;0,46495151;0,11333996;
6;0,15925615;0,19005651;0,42005672;0,539693;0,5441293;1;0,51105513;0,61593042;0,269869;0,40534586;0,33537359;0,17115396;
7;0,06971297;0,099263;0,3044118;0,3591041;0,4449735;0,5110551;1;0,46811114;0,31424313;0,42667306;0,22889045;0,19739596;
8;0,07035597;0,06733306;0,48433754;0,6059652;0,5445801;0,6159304;0,46811114;1;0,24764083;0,29458395;0,2187951;0,10701204;
9;-0,06949196;-0,08531538;0,25108205;0,2422175;0,1935937;0,269869;0,31424313;0,24764083;1;0,68280751;0,06850704;0,17623751;
10;-0,01538666;-0,00111957;0,34426983;0,3498912;0,2406508;0,4053459;0,42667306;0,29458395;0,68280751;1;0,10951716;0,36460161;
11;0,17948209;0,21843858;0,22634783;0,2236542;0,4649515;0,3353736;0,22889045;0,2187951;0,06850704;0,10951716;1;0,06362358;
12;-0,03603418;-0,07460811;0,06815379;0,1244258;0,11334;0,171154;0,19739596;0,10701204;0,17623751;0,36460161;0,06362358;1;
SD;0,334578438;0,334846644;0,25649111;0,246795013;0,242137113;0,228085677;0,233797931;0,266702901;0,289166859;0,269583178;0,241962312;0,267110044;0,267604769
;0,246726003;0,10135304;0,152304667;0,150902209;0,164267624;0,14780644;0,106237923;0,069026631;0,267827491;0,127542225;;;0,153399425
SD;0,200295867;;;;;;;;;;;;
SD;0,280675638;;;;;;;;;;;;
